BlockID_Flint,BlockID_Flint2,ward,CommercialBldgCount,CommercialBldgTotArea,Lat,Long,E_Income,M_Income,FID_2,E_Total,E_M_Total,E_MLT05,E_M05_09,E_M10_14,E_M15_17,E_M18_19,E_M20,E_M21,E_M22_24,E_M25_29,E_M30_34,E_M35_39,E_M40_44,E_M45_49,E_M50_54,E_M55_59,E_M60_61,E_M62_64,E_M65_66,E_M67_69,E_M70_74,E_M75_79,E_M80_84,E_M85up,E_F_Total,E_FLT05,E_F05_09,E_F10_14,E_F15_17,E_F18_19,E_F20,E_F21,E_F22_24,E_F25_29,E_F30_34,E_F35_39,E_F40_44,E_F45_49,E_F50_54,E_F55_59,E_F60_61,E_F62_64,E_F65_66,E_F67_69,E_F70_74,E_F75_79,E_F80_84,E_F85up,M_Total,M_M_Total,M_MLT05,M_M05_09,M_M10_14,M_M15_17,M_M18_19,M_M20,M_M21,M_M22_24,M_M25_29,M_M30_34,M_M35_39,M_M40_44,M_M45_49,M_M50_54,M_M55_59,M_M60_61,M_M62_64,M_M65_66,M_M67_69,M_M70_74,M_M75_79,M_M80_84,M_M85up,M_F_Total,M_FLT05,M_F05_09,M_F10_14,M_F15_17,M_F18_19,M_F20,M_F21,M_F22_24,M_F25_29,M_F30_34,M_F35_39,M_F40_44,M_F45_49,M_F50_54,M_F55_59,M_F60_61,M_F62_64,M_F65_66,M_F67_69,M_F70_74,M_F75_79,M_F80_84,M_F85up
block5,5,1,9,21693.56641,43.073021,-83.700533,10815,9408,4,192,98,0,11,16,0,0,0,0,0,8,0,0,21,10,7,11,0,0,0,0,6,0,0,8,94,9,0,0,0,16,0,0,6,0,0,0,33,0,0,5,0,0,0,5,7,13,0,0,105,54,10,17,27,10,10,10,10,10,14,10,10,25,15,9,12,10,10,10,10,9,10,10,11,65,13,10,10,10,28,10,10,10,10,10,10,34,10,10,10,10,10,10,7,10,13,10,10
block50,50,5,2,1645.285156,43.027928,-83.704528,46250,24178,49,328,187,9,0,22,0,0,0,21,0,27,24,0,4,0,22,11,17,0,0,13,17,0,0,0,141,11,8,0,16,0,0,0,0,8,16,0,7,0,13,37,0,0,0,0,18,0,7,0,147,83,13,10,28,10,10,10,22,10,28,24,10,9,10,20,15,20,10,10,14,27,10,10,10,73,18,11,10,27,10,10,10,10,11,17,10,12,10,16,23,10,10,10,10,29,10,9,10
block51,51,5,18,63857.37109,43.026796,-83.699402,29464,15142,50,550,268,0,21,0,0,0,0,0,16,28,16,18,24,36,10,22,24,10,0,7,0,0,0,36,282,9,7,0,0,0,8,0,9,32,9,41,33,8,20,22,0,0,6,22,43,0,0,13,152,102,10,35,10,10,10,10,10,25,45,25,18,37,31,15,25,38,16,10,11,10,10,10,44,77,15,12,10,10,10,12,10,18,30,15,38,40,13,28,22,10,10,9,23,33,10,10,14
block52,52,5,3,8452.976563,43.023979,-83.710481,21827,4387,51,573,404,63,65,35,0,34,8,13,30,11,19,13,18,7,31,30,0,0,0,6,5,16,0,0,169,8,0,19,6,0,0,2,19,37,11,0,0,13,20,19,15,0,0,0,0,0,0,0,202,163,41,44,37,10,23,10,20,38,16,27,18,19,10,30,25,10,10,10,10,8,22,10,10,62,13,10,19,10,10,10,5,20,22,18,10,10,21,17,28,20,10,10,10,10,10,10,10
block53,53,5,13,52564.78516,43.018795,-83.704487,25833,13694,52,208,111,10,0,7,22,6,2,0,0,7,0,6,2,19,0,13,0,0,6,0,11,0,0,0,97,13,0,0,14,0,0,8,0,9,5,0,14,0,0,21,0,0,0,0,0,13,0,0,108,42,17,10,14,15,10,6,10,10,10,10,10,5,18,10,16,10,10,9,10,18,10,10,10,80,20,10,10,23,10,10,16,10,16,9,10,24,10,10,25,10,10,10,10,10,13,10,10
block54,54,5,9,23258.23828,43.016153,-83.709606,19583,16462,53,477,343,0,22,22,8,15,3,57,56,7,20,15,53,26,7,14,6,0,6,0,0,0,0,6,134,0,23,0,21,0,7,6,0,0,0,0,27,9,6,6,0,10,7,12,0,0,0,0,244,190,10,36,36,12,14,8,88,52,10,32,25,48,41,9,17,9,10,9,10,10,10,10,9,91,10,38,10,34,10,11,10,10,10,10,10,38,13,11,9,10,14,10,19,10,10,10,10
block55,55,6,1,1657.179688,43.019803,-83.726913,25174,11740,54,1087,540,0,32,13,79,13,0,22,48,6,83,0,7,16,55,11,56,44,0,0,0,0,15,40,547,12,0,30,0,40,0,0,38,0,22,12,0,70,67,84,54,12,41,35,0,16,14,0,369,211,10,51,20,87,21,10,34,78,12,64,10,16,25,71,18,67,67,10,10,10,10,24,62,200,19,10,23,10,62,10,10,61,10,24,20,10,67,68,49,68,19,63,28,10,26,21,10
block56,56,6,0,0,43.018813,-83.718001,17536,10963,55,609,331,38,14,105,32,0,0,0,0,0,10,31,18,11,72,0,0,0,0,0,0,0,0,0,278,53,16,17,15,0,0,0,42,0,0,29,0,47,47,0,0,0,0,0,0,12,0,0,435,240,62,22,128,51,10,10,10,10,10,15,36,30,18,76,10,10,10,10,10,10,10,10,10,210,86,25,25,23,10,10,10,67,10,10,32,10,75,58,10,10,10,10,10,10,20,10,10
block57,57,6,4,4083.222656,43.014635,-83.718225,29265,19354,56,1359,711,53,128,75,16,45,57,52,65,39,19,28,12,0,27,55,0,13,0,0,0,0,27,0,648,57,0,13,0,121,45,20,64,23,68,24,23,11,45,23,25,14,0,12,46,0,14,0,327,200,43,136,70,20,47,55,49,55,37,29,26,20,10,31,58,10,20,10,10,10,10,30,10,157,73,10,21,10,56,43,23,71,25,72,28,26,18,57,26,28,21,10,20,41,10,21,10
block58,58,6,4,46113.97656,43.00977,-83.732837,27766,8684,57,1426,646,30,76,127,0,0,0,0,12,31,62,104,29,36,65,38,0,0,0,0,22,0,0,14,780,0,154,47,15,0,0,34,68,60,62,111,25,13,39,82,0,0,0,13,26,0,14,17,483,288,33,66,129,10,10,10,10,19,49,67,118,31,33,60,48,10,10,10,10,24,10,10,21,255,10,110,57,25,10,10,53,73,78,69,90,40,21,44,75,10,10,10,20,30,10,21,26
block59,59,6,2,11261.51563,43.010296,-83.726727,21888,19031,58,445,207,0,20,0,0,0,0,0,11,0,0,32,37,0,35,23,13,36,0,0,0,0,0,0,238,32,0,0,0,0,0,0,12,14,14,0,54,0,0,36,24,0,0,0,24,14,0,14,128,96,10,33,10,10,10,10,10,17,10,10,51,45,10,56,36,20,57,10,10,10,10,10,10,94,37,10,10,10,10,10,10,20,22,21,10,48,10,10,42,39,10,10,10,27,23,10,22
block6,6,1,0,0,43.070206,-83.709747,25221,5620,5,336,144,24,11,14,0,0,23,0,0,8,9,19,0,0,7,0,19,0,0,0,10,0,0,0,192,19,6,14,5,0,0,0,12,6,19,7,10,0,22,15,0,9,0,6,6,6,14,16,115,56,24,13,22,10,10,25,10,10,13,14,21,10,10,11,10,16,10,10,10,11,10,10,10,75,29,9,20,9,10,10,10,19,9,24,10,15,10,20,17,10,14,10,9,9,9,15,20
block60,60,3,12,40360.69141,43.072177,-83.688904,18382,4868,59,410,196,17,22,3,0,7,0,0,8,0,0,4,23,7,20,8,12,0,13,8,5,10,9,20,214,7,46,4,0,0,16,0,0,26,24,0,20,0,38,11,0,7,0,0,5,6,4,0,141,73,28,26,6,10,11,10,10,14,10,10,7,18,13,18,13,15,10,20,14,8,16,13,23,94,14,43,7,10,10,17,10,10,34,28,10,23,10,25,12,10,11,10,10,8,10,7,10
block61,61,3,18,50385.375,43.066022,-83.684401,23500,6523,60,1074,334,28,16,20,24,0,0,12,0,0,0,19,44,39,17,31,17,20,14,0,5,26,2,0,740,80,16,104,72,23,0,0,41,59,56,54,54,48,35,31,8,23,14,0,4,7,11,0,278,95,34,26,29,34,10,10,18,10,10,10,27,38,45,18,24,18,30,22,10,7,24,6,10,254,63,24,105,60,28,10,10,64,44,50,42,48,45,28,21,12,23,22,10,7,10,11,10
block62,62,3,9,69865.46875,43.072642,-83.668175,34013,21549,61,610,308,0,24,68,9,0,22,30,8,25,0,20,24,17,27,7,0,19,0,0,8,0,0,0,302,0,0,12,54,0,0,0,0,37,12,21,71,15,15,6,19,0,15,0,0,9,9,7,198,103,10,38,61,13,10,31,47,14,27,10,31,31,26,28,11,10,23,10,10,12,10,10,10,104,10,10,21,51,10,10,10,10,41,21,32,46,21,18,10,23,10,23,10,10,12,12,10
block63,63,3,2,10199.22266,43.069225,-83.66516,13892,2487,62,1503,661,155,203,63,2,25,0,0,44,0,83,24,0,6,7,34,0,0,9,0,0,0,0,6,842,236,106,29,20,0,88,62,49,117,36,0,21,8,16,33,0,0,0,0,21,0,0,0,352,211,86,82,59,6,39,10,10,54,10,76,24,10,10,11,29,10,10,12,10,10,10,10,10,227,121,65,40,31,10,70,53,48,63,36,10,33,12,17,30,10,10,10,10,19,10,10,10
block64,64,3,2,10106.5625,43.065347,-83.653562,15625,11706,63,1092,397,110,0,0,21,21,5,0,44,45,0,23,12,44,32,5,0,20,0,1,9,5,0,0,695,108,43,48,71,19,22,0,154,24,2,40,46,24,32,4,0,31,1,10,11,5,0,0,314,170,92,10,10,30,30,8,10,59,48,10,32,14,41,33,8,10,16,10,2,10,9,10,10,230,88,49,72,56,27,36,10,88,24,3,41,69,30,30,7,10,27,2,12,12,8,10,10
block65,65,3,1,13291.03516,43.059665,-83.658668,14415,2562,64,750,384,116,12,8,27,0,0,0,38,17,0,19,0,47,42,25,5,5,0,0,5,18,0,0,366,45,21,60,14,0,31,0,32,22,29,17,21,7,7,10,11,17,0,5,5,12,0,0,302,177,99,19,14,32,10,10,10,61,28,10,20,10,40,38,32,8,8,10,10,9,22,10,10,166,59,26,80,16,10,49,10,39,25,35,17,33,11,10,11,14,19,10,7,9,13,10,10
block66,66,4,17,146195.5742,43.05681,-83.650798,20833,12891,65,950,506,68,59,34,17,0,6,0,37,71,8,42,42,47,33,7,0,5,0,11,19,0,0,0,444,41,18,31,5,5,7,7,8,51,16,7,55,68,44,19,6,5,23,0,11,17,0,0,259,161,50,44,36,18,10,10,10,38,48,12,41,44,40,23,10,10,10,10,14,17,10,10,10,141,42,22,32,7,6,11,12,12,43,17,10,48,70,44,18,9,8,18,10,13,17,10,10
block67,67,3,27,50872.07031,43.057839,-83.688077,23162,3605,66,511,247,0,0,22,18,0,0,0,9,15,0,0,32,14,13,13,35,12,0,22,30,6,6,0,264,0,6,31,19,7,0,0,13,0,11,12,7,13,19,55,5,6,21,5,5,6,12,11,112,81,10,10,20,17,10,10,10,13,19,10,10,27,22,13,13,25,13,10,20,25,9,8,10,68,10,9,23,16,10,10,10,21,10,12,20,10,16,17,33,9,9,19,8,8,9,13,12
block68,68,3,17,28736.55469,43.048594,-83.690453,0,0,67,436,231,27,17,0,0,0,0,8,1,9,0,29,22,7,23,35,20,17,0,0,0,0,5,11,205,31,33,0,6,0,0,0,0,30,0,6,7,8,18,22,17,6,0,0,5,5,11,0,150,75,24,21,10,10,10,10,13,4,13,10,32,25,10,23,23,31,22,10,10,10,10,9,17,100,28,31,10,9,10,10,10,10,27,10,10,10,11,20,16,19,8,10,10,8,8,17,10
block69,69,3,9,32907.375,43.044723,-83.669502,20052,16187,68,402,284,0,12,47,8,0,25,0,0,0,0,0,0,26,7,123,31,0,5,0,0,0,0,0,118,6,3,7,0,0,0,0,5,8,7,8,16,6,0,0,6,6,8,7,19,0,6,0,196,162,10,14,55,13,10,40,10,10,10,10,10,10,34,12,120,34,10,8,10,10,10,10,10,58,11,6,10,10,10,10,10,8,10,10,13,25,10,10,10,8,11,9,10,23,10,9,10
