VISIT_AREA_NM,REVISIT_INTENTION,RCMDTN_INTENTION,X_COORD,Y_COORD,Total_value
CGV 명동,5,5,126.982583,37.56349296,10
CGV 부천,8,8,126.7604964,37.50436023,16
CGV 북수원,5,5,127.0074851,37.30354,10
CGV 수원,5,5,127.0001691,37.26655259,10
CGV 압구정 본관,8,7,127.0286471,37.52455679,15
CGV 용산아이파크몰,43,43,126.9639508,37.52975174,86
CGV 인천도화,4,4,126.6645433,37.46953717,8
CGV 인천연수,9,9,126.6830889,37.40635534,18
CGV 파주야당,2,3,126.7600925,37.71313712,5
CGV 평택소사,4,4,127.1114917,37.00046166,8
CGV 피카디리1958,5,5,126.9913133,37.57099382,10
CGV 하남미사,4,4,127.1922605,37.56359269,8
CJ오피스텔,4,4,126.9476943,37.47980834,8
CN스파,5,5,126.9983263,37.49979345,10
CS에비뉴호텔,1,1,126.9364817,37.59908443,2
CS프리미어호텔,20,20,126.9169269,37.41598092,40
CS호텔,6,6,126.9299185,37.60861679,12
CU SK대호주유소점,3,3,127.056717,37.29659948,6
CU 광교중흥점,5,5,127.0558958,37.28415744,10
CU 광주궁평점,4,4,127.3236992,37.33802958,8
CU 구리유탑유블레스점,4,4,127.1352839,37.60108545,8
CU 남이천IC점,3,3,127.4397721,37.18093882,6
CU 남한산성점,2,3,127.1695768,37.46253941,5
CU 동대문역점,3,3,127.0109666,37.57127114,6
CU 동대입구역점,5,5,127.005161,37.55931712,10
CU 메이필드호텔점,4,4,126.8191691,37.54714684,8
CU 면목7동점,3,3,127.0876285,37.57921472,6
CU 미사로또점,4,4,127.1980241,37.5645211,8
CU 방이스타점,3,3,127.1105885,37.5156246,6
CU 베르누이호텔점,5,5,126.8459727,37.49743332,10
CU 부개SK뷰점,4,4,126.7368975,37.49348537,8
CU 서울숲L타워점,3,3,127.0852911,36.99098236,6
CU 서하남휴게소판교방향점,5,5,127.1930688,37.52592515,10
CU 성북삼선점,5,5,127.0108193,37.58615918,10
CU 속초청초호점,3,3,128.5806584,38.1948245,6
CU 송도웨스턴파크점,5,5,126.6289612,37.40603929,10
CU 송도유원지점,5,5,126.6501015,37.41844044,10
CU 아침고요수목원점,6,6,127.3928014,37.76453863,12
CU 안산대부점,6,6,126.5696039,37.26937981,12
CU 압구정역점,5,5,127.0291287,37.52677314,10
CU 원남사거리점,5,5,126.9979669,37.57562884,10
CU 은평어드벤스힐점,4,3,126.9187913,37.63358143,7
CU 이태원하얏트점,2,5,126.9951708,37.539351,7
CU 종로가회점,4,4,126.9852461,37.58151683,8
CU 중구청점,4,3,126.9987459,37.56287075,7
CU 중앙박물관점,4,4,126.9777712,37.52270211,8
CU 춘천남산점,2,2,127.6468453,37.79045193,4
CU 파주영태본점,3,4,126.7897446,37.77636864,7
CU 파주이채점,3,3,126.6874413,37.71482741,6
CU 포천장암점,3,3,127.3682431,38.03858477,6
CU 포천중앙점,5,5,127.2034246,37.89888141,10
CU양평블룸비스타점,5,5,126.5259428,33.51421389,10
Coco 카페,3,3,126.8355379,37.5530096,6
DDP패션몰,5,5,127.0121567,37.56731745,10
DMYK,10,10,127.0208023,37.57537114,20
DMZ 장단콩두부마을,16,15,126.6896479,37.78613016,31
DMZ마루캠핑장,5,5,127.019313,38.13491646,10
DMZ생생누리,7,9,126.7403683,37.89042992,16
DW스테이,2,2,126.9220719,37.5611764,4
DYD오피스텔,5,3,127.1310403,37.53947121,8
ESC방탈출카페 홍대점,4,4,126.9225253,37.55181713,8
EXCO,4,4,128.6130635,35.90720842,8
FB씨어터,5,5,127.0730857,37.51430045,10
G7,5,5,126.4720167,33.49756885,10
G7호텔,25,27,127.0970055,37.35183809,52
GS25 G여의도점,5,5,126.9254663,37.53047615,10
GS25 S9동작역점,3,3,126.9779376,37.50306746,6
GS25 S김포공항역점,4,3,126.8012766,37.56231429,7
GS25 가좌대우점,4,3,126.7181238,37.68808461,7
GS25 강남대행복점,5,5,127.1297177,37.27680565,10
GS25 강남쌍용점,3,3,127.0299614,37.49567296,6
GS25 강일4단지점,3,3,127.1771731,37.56657246,6
GS25 계동중앙점,3,3,126.9865596,37.58004296,6
GS25 고색밸리점,4,3,126.9868731,37.2386253,7
GS25 곤지암리조트점,13,13,127.2963727,37.33750561,26
GS25 곤지암목방점,3,3,127.350831,37.34415761,6
GS25 곤지암점,3,3,127.3417492,37.35004716,6
GS25 구로계영점,2,3,126.886263,37.48841486,5
GS25 기흥롯데점,4,3,127.1027835,37.27151776,7
GS25 대치삼호점,3,3,127.0661516,37.50872733,6
GS25 덕이포인트점,2,2,126.7341864,37.7008797,4
GS25 도화동아점,5,5,126.6654597,37.46531584,10
GS25 명동IB점,5,5,126.9862279,37.56157973,10
GS25 미사파라곤점,3,3,127.1935982,37.56396261,6
GS25 방배서문점,4,4,126.9830989,37.48944509,8
GS25 서수원자이점,4,3,126.9603631,37.29657399,7
GS25 서신이편한점,4,3,127.1241615,35.82884364,7
GS25 선재대교점,4,4,126.5334736,37.23348803,8
GS25 설봉호수점,5,5,127.4355827,37.27885413,10
GS25 성남포레점,5,4,127.149493,37.45454752,9
GS25 성내이안점,4,5,127.12806,37.53548305,9
GS25 송도쉐라톤점,5,4,126.6452598,37.39016294,9
GS25 수원행리단길점,11,11,127.0132073,37.28522141,22
GS25 신광명역점,5,5,126.8546395,37.48116131,10
GS25 신포로데오점,3,3,126.6256296,37.47173767,6
GS25 안산중앙역점,5,5,126.839119,37.31393335,10
GS25 안성롯데캐슬점,3,3,127.2256629,37.01311646,6
GS25 압구정신사점,3,3,127.0302261,37.52121187,6
GS25 여주연라점,3,3,127.6061786,37.25643645,6
GS25 외대스타점,3,3,127.0599825,37.59575621,6
GS25 용인동부점,4,4,127.2232346,37.22420394,8
GS25 용인신갈점,3,3,127.1094217,37.27671081,6
GS25 원주라온점,5,5,127.8736647,37.38266708,10
GS25 인계센트럴점,3,3,127.0339106,37.26319405,6
GS25 제부중앙점,5,4,126.6582057,37.17216135,9
GS25 청평대교점,3,3,127.40983,37.72799796,6
GS25 출판도시점,4,4,126.6870912,37.70853771,8
GS25 충무로본점,5,5,126.9931231,37.56081719,10
GS25 파주프로방스점,4,4,126.6866133,37.78963407,8
GS25 포천삼정점,3,3,127.1244778,37.96089674,6
GS25 한강반포1호점,4,3,127.0022938,37.51281206,7
GS25 향남로드점,5,5,126.891081,37.08940286,10
GS25 홍은중앙로점,4,4,126.9487603,37.60074462,8
GS더프레시 송도그린워크점,4,4,126.6427032,37.40158014,8
GS더프레시 위례중앙점,3,3,127.1428183,37.47370495,6
GS칼텍스 신길주유소,2,3,126.9087198,37.49903739,5
GS타워,3,3,127.0373341,37.50194637,6
GV,4,4,127.0166811,37.28248902,8
G게스트하우스,5,6,126.9949619,37.53320887,11
G밸리소홈오피스텔,5,5,126.9001246,37.48665781,10
G타워전망대,4,3,126.6342006,37.39608587,7
H&M 명동중앙길점,3,3,126.9851184,37.56354737,6
H&M 송도 트리플 스트릿점,2,2,126.6594768,37.38094585,4
H&M 용산 아이파크몰점,4,4,126.9646975,37.52967268,8
H&M 홍대점,3,4,126.9224953,37.55454173,7
HL호텔,10,10,127.1100455,37.51557195,20
HOTEL 166,4,5,127.0350502,37.26540308,9
Hall1,3,3,126.8946911,37.54015469,6
H에비뉴 건대점,10,10,127.06661,37.54602854,20
H에비뉴 성신여대점,4,4,127.0190411,37.59413102,8
H에비뉴 이대점,11,12,126.9425752,37.55622185,23
I GO 동전노래연습장,1,1,126.7817981,37.48528757,2
IFC몰,106,108,126.9005944,37.34930851,214
IMT모텔,12,12,126.9903004,37.56905119,24
IMT호텔,7,7,126.9188957,37.50420851,14
JBD종로빈대떡 낙원점,7,7,126.9888907,37.5719293,14
JK블라썸호텔,8,10,126.8678789,37.55691153,18
JK아트컨벤션,5,4,126.9000731,37.51767938,9
JS부티크호텔,4,4,126.8688565,37.47427621,8
JTN아트홀 2관,5,5,127.0039305,37.57664511,10
JW 메리어트 호텔 서울,13,13,127.0046935,37.50404431,26
JW메리어트 호텔 서울 이그제큐티브 라운지,5,5,127.0046935,37.50404431,10
JW메리어트동대문스퀘어서울,44,45,127.0087478,37.57023337,89
JW메리어트동대문스퀘어서울 더라운지,2,4,127.0087613,37.57017751,6
JW메리어트동대문스퀘어서울 타볼로24,8,9,127.0087387,37.57044781,17
JW메리어트호텔서울 더라운지,3,3,127.0046822,37.50400827,6
JW메리어트호텔서울 플레이버즈,10,10,127.0046641,37.504038,20
Jajam157 카페,4,4,127.4910253,37.6900687,8
Jjs house,5,5,126.9825924,37.5843101,10
K-water 한탄강댐 물문화관,10,10,127.1284509,38.06302607,20
KBS아레나,1,1,126.8479626,37.55675872,2
KB국민은행 부평종합금융센터,5,5,126.7233626,37.49328866,10
KB국민은행 압구정역지점,3,3,127.0271782,37.52631589,6
KB국민은행ATM 양평동종합금융센터점,3,3,126.8975817,37.53630095,6
KB청춘마루,5,5,126.9230072,37.55422131,10
KFC 광화문점,2,2,126.9759478,37.57152508,4
KFC 대학로점,5,5,127.0022914,37.58187452,10
KFC 동대문점,5,5,127.0107085,37.57125855,10
KFC 서초동점,8,8,127.0151284,37.48497993,16
KFC 안양일번가점,3,3,126.9222344,37.40024551,6
KFC 영등포역점,3,3,126.907727,37.5154313,6
KFC 용인에버랜드점,5,5,127.2014359,37.2926573,10
KFC 웅진플레이도시점,4,4,126.7438779,37.50042402,8
KFC 홍익대점,4,4,126.9231502,37.55600898,8
KPOPSTAR코인노래연습장,5,5,126.9717789,37.54399328,10
KT&G상상마당 홍대,14,15,126.9210685,37.55100888,29
